567,498,73,141
575,499,73,141
585,501,73,141
594,502,73,141
603,503,73,141
611,505,73,141
618,507,73,141
625,509,73,141
629,511,73,141
634,513,73,141
639,515,73,141
642,517,73,141
646,519,73,141
650,520,73,141
653,521,73,141
657,521,73,141
659,522,73,141
663,522,73,141
665,522,73,141
667,522,73,141
669,521,73,141
671,521,73,141
673,521,73,141
674,521,73,141
674,520,73,141
675,521,73,141
674,520,73,141
674,518,73,141
673,517,73,141
672,513,73,141
671,511,73,141
669,509,73,141
668,506,73,141
667,503,73,141
666,500,73,141
665,496,73,141
664,492,73,141
664,487,73,141
664,483,73,141
664,477,73,141
663,472,73,141
662,466,73,141
661,460,73,141
659,454,73,141
656,449,73,141
653,443,73,141
650,438,73,141
646,434,73,141
642,429,73,141
637,425,73,141
633,421,73,141
627,418,73,141
622,415,73,141
617,413,73,141
613,411,73,141
610,411,73,141
610,413,73,141
613,417,73,141
617,421,73,141
621,425,73,141
626,430,73,141
633,436,73,141
639,442,73,141
645,448,73,141
651,454,73,141
657,461,73,141
661,467,73,141
664,471,73,141
667,475,73,141
668,480,73,141
668,485,73,141
669,490,73,141
669,493,73,141
669,498,73,141
669,504,73,141
668,508,73,141
667,513,73,141
666,517,73,141
665,523,73,141
663,527,73,141
661,532,73,141
657,537,73,141
654,541,73,141
651,545,73,141
647,549,73,141
643,553,73,141
641,557,73,141
637,561,73,141
634,566,73,141
638,574,73,141
621,565,75,141
613,571,73,141
611,573,73,141
610,578,73,141
611,578,77,141
603,578,73,141
601,578,73,141
594,578,73,141
597,578,73,141
591,578,73,141
585,576,73,141
585,575,73,141
581,569,73,141
577,561,78,151
572,556,78,151
568,550,78,151
564,545,78,151
560,539,78,151
555,533,78,151
551,527,78,151
546,521,78,151
541,515,78,151
536,509,78,151
531,504,78,151
526,499,78,151
520,493,78,151
515,489,78,151
509,487,78,151
503,486,78,151
497,485,78,151
491,485,78,151
483,485,78,151
476,483,78,151
469,482,78,151
462,482,78,151
455,483,78,151
447,485,78,151
439,487,78,151
432,489,78,151
425,491,78,151
419,493,78,151
411,495,78,151
405,497,78,151
399,499,78,151
393,501,78,151
387,502,78,151
381,502,78,151
376,503,78,151
371,503,78,151
367,504,78,151
363,504,78,151
363,505,78,151
363,505,78,151
363,504,78,151
365,503,78,151
367,503,78,151
369,502,78,151
371,501,78,151
373,500,78,151
376,499,78,151
377,498,87,153
379,497,92,154
380,496,87,157
381,495,85,161
383,493,85,157
386,492,84,161
387,491,87,162
389,490,83,162
393,489,83,160
397,487,84,167
401,485,85,160
405,484,83,162
410,483,86,161
414,481,85,166
417,479,87,165
421,477,88,165
424,475,87,167
426,474,89,167
429,473,91,169
430,471,91,170
431,469,91,170
430,462,92,176
426,466,95,167
428,470,97,159
427,469,97,159
427,470,97,159
425,470,97,159
423,469,97,159
421,469,97,159
419,469,97,159
417,469,97,159
415,469,97,159
411,469,97,159
408,469,97,159
404,469,97,159
399,469,97,159
395,470,97,159
391,471,97,159
387,473,97,159
383,474,97,159
382,475,97,159
381,477,97,159
381,477,97,159
383,479,97,159
386,479,97,159
392,480,97,159
399,480,97,159
407,480,97,159
416,479,97,159
424,474,97,164
431,479,97,159
439,481,97,159
446,480,97,159
453,478,97,159
459,477,97,159
466,467,83,161
471,465,83,161
474,465,83,161
477,463,83,161
479,461,83,161
479,460,83,161
478,459,83,161
477,459,83,161
475,458,83,161
